"","X1","X2","X3","X4"
"157","Acinonyx_jubatus",52.1515625,56.8878630636605,17.3
"136","Aepyceros_melampus",31.1658203125,54.9404532920595,21.8
"134","Connochaetes_taurinus",22.93291015625,50.2071199587262,14.7
"137","Nanger_granti",18.63291015625,47.0904532920595,6.1
"138","Eudorcas_thomsonii",18.63291015625,47.0904532920595,6.1
"141","Madoqua_kirkii",31.1658203125,54.9404532920595,21.8
"142","Ourebia_ourebi",31.1658203125,54.9404532920595,21.8
"148","Phacochoerus_africanus",105.153125,95.5049954166016,65.6
"140","Redunca_redunca",25.18291015625,53.6404532920595,19.2
"150","Canis_aureus",35.1265625,53.7178630636605,1.5
"149","Equus_quagga",144.70625,113.973745416602,85.3
"151","Canis_mesomelas",35.1265625,53.7178630636605,1.5
"155","Caracal_caracal",20.562890625,51.4378630636605,9.4
"130","Pedetes_capensis",142.28125,114.235811781609,77.2
"160","Procavia_capensis",163.1125,80.559375,13.6
"131","Rhabdomys_pumilio",142.28125,114.235811781609,77.2
"158","Crocuta_crocuta",87.003125,74.9678630636605,39.9
"133","Alcelaphus_buselaphus",22.93291015625,50.2071199587262,14.7
"135","Damaliscus_korrigum",22.93291015625,50.2071199587262,14.7
"139","Kobus_ellipsiprymnus",25.18291015625,53.6404532920595,19.2
"156","Leptailurus_serval",20.562890625,51.4378630636605,9.4
"152","Lycaon_pictus",68.753125,54.6678630636605,3.4
"145","Tragelaphus_scriptus",23.95791015625,53.5537866253929,17
"153","Panthera_leo",18.762890625,49.6378630636605,5.8
"146","Giraffa_camelopardalis",54.56328125,59.4473763689826,26.8
"143","Syncerus_caffer",30.9158203125,55.7037866253929,21.3
"144","Taurotragus_oryx",23.95791015625,53.5537866253929,17
"154","Panthera_pardus",18.762890625,49.6378630636605,5.8
"159","Heterohyrax_brucei",163.1125,80.559375,13.6
"132","Papio_anubis",207.3625,121.585811781609,91.9
"48","acacia_senegal",25.2885818969727,35.5512147396547,12
"50","vachellia_tortilis",23.2885818969727,30.773437072988,8
"104","andropogon_greenwayi",22.9284672626953,30.9778228700975,10
"75","aristida_spp.",126.043749625,106.833530868671,99.375
"116","brachiaria_semiundulata",28.3701337939453,33.661846751977,18.333334
"93","chloris_gayana",17.4850424814453,24.3940263882793,9
"63","combretum_molle",139.543749625,123.19694069893,116
"59","croton_macrostachyus",38.9043303378906,48.6840443002607,12
"91","cynodon_dactylon",11.8189102407227,22.8326838882793,5.326389
"23","grewia_bicolor",41.9544921757813,35.8539796377408,11
"81","harpachne_schimperi",48.9636718515625,42.648490602565,29.9375
"26","hibiscus_spp.",23.4052896689453,36.1650905710741,11
"102","hyparrhenia_filipendula",17.4423583813477,29.3257390367641,9
"103","hyparrhenia_rufa",17.4423583813477,29.3257390367641,9
"56","indigofera_hochstetteri",25.2885818969727,38.295659122988,12
"110","panicum_maximum",23.7347167939453,27.075040751977,11
"112","pennisetum_mezianum",23.2347167939453,29.731290751977,10
"29","sida_spp.",33.0605788378906,39.6373124044075,14.833333
"16","solanum_incanum",44.7996093515625,44.0821553953547,12
"83","sporobolus_festivus",29.9818359257813,24.6127763168507,11
"85","sporobolus_ioclados",29.9818359257813,24.6127763168507,11
"87","sporobolus_pyramidalis",29.9818359257813,24.6127763168507,11
"97","themeda_triandra",18.3657957563477,30.5680305034308,8.9125
"99","bothriochloa_insculpta",27.8190925126953,35.0242815034308,17.825001
"124","digitaria_macroblephara",43.4402343515625,28.2080535724898,11
"122","digitaria_abyssinica",43.4402343515625,28.2080535724898,11
"96","dinebra_retroflexa",35.9610029257813,34.8627768882793,22.958334
"90","eustachys_paspaloides",11.8189102407227,22.8326838882793,5.326389
"98","heteropogon_contortus",18.3657957563477,30.5680305034308,8.9125
"108","panicum_coloratum",23.7347167939453,27.075040751977,11
"88","sporobolus_spicatus",29.9818359257813,24.6127763168507,11
"123","digitaria_diagonalis",43.4402343515625,28.2080535724898,11
"78","eragrostis_cilianensis",29.9818359257813,28.445365602565,11
"80","eragrostis_tenuifolia",29.9818359257813,28.445365602565,11
"92","microchloa_kunthii",18.3114314814453,25.4958783882793,10.652778
"82","psilolemma_jaegeri",48.9636718515625,42.648490602565,29.9375
"62","balanites_aegyptiacus",108.567968703125,109.500710100261,101
"5","duosperma_kilimandscharicum",40.1329438515625,50.5920772524976,20.333334
"113","pennisetum_stramineum",23.2347167939453,29.731290751977,10
"84","sporobolus_fimbriatus",29.9818359257813,24.6127763168507,11
"47","acacia_robusta",25.2885818969727,35.5512147396547,12
"49","vachellia_seyal",23.2885818969727,30.773437072988,8
"33","commiphora_trothae",43.7272460878906,42.4373129710741,11
"12","cordia_ovalis",71.599218703125,76.665488728688,50
"22","grewia_arborea",41.9544921757813,35.8539796377408,11
"24","grewia_trichocarpa",41.9544921757813,35.8539796377408,11
"25","hibiscus_lunariifolius",23.4052896689453,36.1650905710741,11
"40","maerua_cafra",53.7423168515625,56.3817566377408,28.666666
"11","olea_spp.",71.19843740625,70.6476315858309,45
"18","pavetta_assimilis",103.3968748125,95.665488728688,86
"61","phyllanthus_sepialis",89.9506533515625,85.7673793002607,71.333336
"28","abutilon_spp.",33.0605788378906,39.6373124044075,14.833333
"57","acalypha_fruticosa",65.8086606757813,63.5173783002607,41.666668
"52","albizia_harveyi",52.4876615878906,52.0178805396547,37.333332
"71","albuca_spp.",109.71249925,74.6358722772628,52
"36","allophylus_rubifolius",47.7272460878906,56.9373129710741,25.5
"72","aloe_macrosiphon",89.71249925,56.6358722772628,12
"73","aloe_secundiflora",89.71249925,56.6358722772628,12
"39","capparis_tomentosa",34.0378249257813,49.2150901377408,14.333333
"117","cenchrus_ciliaris",28.5784667939453,33.9396240853103,18.75
"64","cissus_quadrangularis",63.2718748125,60.7326549846446,11
"65","cissus_rotundifolia",63.2718748125,60.7326549846446,11
"74","commelina_africana",193.4249985,123.143015134406,116
"31","commiphora_merkeri",43.7272460878906,42.4373129710741,11
"32","commiphora_schimperi",43.7272460878906,42.4373129710741,11
"58","croton_dichogamus",38.9043303378906,48.6840443002607,12
"66","cyphostemma_spp.",115.543749625,89.2326549846446,68
"121","digitaria_velutina",43.4402343515625,28.2080535724898,11
"2","emilia_coccinea",82.293749625,67.1226315858309,10
"42","ficus_glumosa",50.5709960878906,46.9840434335941,12
"43","ficus_ingens",50.5709960878906,46.9840434335941,12
"44","ficus_thonningii",50.5709960878906,46.9840434335941,12
"13","heliotropium_steudneri",71.599218703125,76.665488728688,50
"7","hoslundia_opposita",54.849218703125,53.9809649191642,30.5
"6","hypoestes_forskaolii",40.1329438515625,50.5920772524976,20.333334
"55","indigofera_basiflora",25.2885818969727,38.295659122988,12
"14","ipomoea_obscura",77.599218703125,77.415488728688,62
"10","jasminum_spp.",71.19843740625,70.6476315858309,45
"68","kalanchoe_spp.",201.1749985,134.91743759334,128
"41","kedrostis_foetidissima",102.283984351562,105.400710100261,97
"3","emilia_ukambensis",82.293749625,67.1226315858309,10
"9","ocimum_spp.",54.849218703125,53.9809649191642,30.5
"35","pappea_capensis",47.7272460878906,56.9373129710741,25.5
"27","pavonia_patens",35.8105793378906,40.8317575710741,20.333334
"20","pupalia_lappacea",106.793749625,96.6961609975956,56.5
"30","sclerocarya_birrea",76.4544921757813,77.7706463044074,64
"46","senna_didymobotrya",85.2839843515625,74.273437372988,63
"69","sansevieria_ehrenbergii",59.856249625,53.6358722772628,10
"70","sansevieria_suffruticosa",59.856249625,53.6358722772628,10
"15","solanum_dennekense",44.7996093515625,44.0821553953547,12
"115","tricholaena_teneriffae",18.7684003969727,29.078513251977,9.166667
"34","turraea_fischeri",69.9544921757813,69.6873129710741,51
"21","ximenia_caffra",157.08749925,124.946160997596,113
"45","ziziphus_spp.",89.1419921757813,89.6507101002607,76
"147","Hippopotamus_amphibius",82.3265625,89.8116620832683,59.5
"111","panicum_repens",23.7347167939453,27.075040751977,11
"105","andropogon_schirensis",22.9284672626953,30.9778228700975,10
"100","cymbopogon_caesius",37.8131840253906,40.9659481700975,26.737501
"126","digitaria_ternata",43.4402343515625,28.2080535724898,11
"76","phragmites_mauritianus",87.10468740625,76.420365602565,67.8125
"129","typha_capensis",129.356249625,115.215742407133,106
"161","Loxodonta_africana",312.625,111.659375,75.8
"4","blepharis_acanthodioides",59.932553703125,60.7587442524976,40.666668
"8","iboza_spp.",54.849218703125,53.9809649191642,30.5
"67","rhoicissus_revoilii",115.543749625,89.2326549846446,68
"19","achyranthes_aspera",106.793749625,96.6961609975956,56.5
"38","boscia_augustifolia",34.0378249257813,49.2150901377408,14.333333
"17","solanum_nigrum",44.7996093515625,44.0821553953547,12
"51","vachellia_xanthophloea",23.2885818969727,30.773437072988,8
"53","crotalaria_spinosa",52.4876615878906,53.073436122988,37.333332
"125","digitaria_milanjiana",43.4402343515625,28.2080535724898,11
"120","echinochloa_haploclada",62.3777343515625,58.637540751977,48.875
"60","euphorbia_candelabrum",65.8086606757813,63.5173783002607,41.666668
"37","kigelia_africana",78.817968703125,65.9373129710741,43
"109","panicum_deustum",23.7347167939453,27.075040751977,11
"106","sorghum_versicolor",62.1277331015625,59.0503205034308,48.474998
"94","chloris_pycnothrix",17.4850424814453,24.3940263882793,9
"79","eragrostis_exasperata",29.9818359257813,28.445365602565,11
"127","cyperus_spp.",91.1781248125,88.715742407133,53
"101","diheteropogon_amplectens",25.8847167626953,32.7819890367641,15.9125
"77","eragrostis_aspera",29.9818359257813,28.445365602565,11
"114","eriochloa_fatmensis",18.7684003969727,29.078513251977,9.166667
"128","kyllinga_nervosa",91.1781248125,88.715742407133,53
"1","pellaea_calomelanos",693.399988,390.568980248062,385.799988
"86","sporobolus_pellucidus",29.9818359257813,24.6127763168507,11
"89","sporobolus_stapfianus",29.9818359257813,24.6127763168507,11
"107","hyperthelia_dissoluta",75.780468203125,70.5928214034308,61.299999
"95","chloris_roxburghiana",17.4850424814453,24.3940263882793,9
"54","lonchocarpus_eriocalyx",38.5771637939453,44.628992122988,24.666666
"118","setaria_pallidefusca",19.2892333969727,29.5646240853103,10
"119","setaria_sphacelata",19.2892333969727,29.5646240853103,10
