prey_code,pred_code,weight
F1,F10,0.001013791
F104,F10,0.000810505
F122,F10,0.000808952
F147,F10,0.000817041
F150,F10,3.97E-04
F151,F10,0.000391364
F152,F10,0.000397479
F153,F10,0.000397479
F18,F10,0.00019874
F19,F10,0.001015781
F2,F10,2.65E-04
F20,F10,0.00019874
F21,F10,0.00019874
F3,F10,2.65E-04
F47,F10,0.001610158
F48,F10,0.000816107
F6,F10,0.000419562
F60,F10,0.000419562
F61,F10,0.000397479
F67,F10,0.000264986
F68,F10,0.000264986
F69,F10,0.000264633
F7,F10,0.000419562
F76,F10,0.00081889
F79,F10,8.17E-04
F87,F10,0.00071986
F89,F10,0.00082367
F91,F10,0.000827383
F1,F105,0.000307521
F113,F105,3.44E-04
F119,F105,0.000656438
F122,F105,0.000341218
F160,F105,3.28E-04
F176,F105,0.000320527
F207,F105,0.000325262
F57,F105,1.64E-04
F58,F105,0.000162758
F63,F105,0.000344333
F67,F105,0.000114877
F68,F105,0.000114877
F69,F105,0.000114724
F76,F105,0.000328962
F79,F105,1.64E-04
F82,F105,1.64E-04
F86,F105,0.000324969
F97,F105,0.000328219
F10,F106,0.000725644
F118,F106,0.000725644
F124,F106,0.000707945
F148,F106,0.000716083
F150,F106,0.000724468
F156,F106,0.00014164
F157,F106,0.000141589
F158,F106,1.42E-04
F159,F106,0.000139595
F160,F106,1.41E-04
F161,F106,0.000867233
F162,F106,1.42E-04
F163,F106,1.41E-04
F164,F106,0.00014138
F165,F106,0.000141244
F173,F106,0.000139861
F174,F106,0.000141589
F175,F106,0.000141589
F176,F106,0.000846907
F177,F106,0.000141589
F178,F106,8.66685E-05
F179,F106,8.84932E-05
F180,F106,8.58021E-05
F185,F106,8.84932E-05
F186,F106,8.84932E-05
F187,F106,8.84932E-05
F188,F106,8.30922E-05
F193,F106,8.84932E-05
F51,F106,0.000707945
F75,F106,8.84932E-05
F76,F106,7.09547E-05
F77,F106,7.13038E-05
F78,F106,8.90871E-05
F79,F106,7.08E-05
F8,F106,0.000353595
F80,F106,7.07945E-05
F81,F106,8.90361E-05
F82,F106,7.07E-05
F83,F106,8.81E-05
F9,F106,0.000353973
F94,F106,0.000722034
F156,F107,0.000515776
F157,F107,0.000515589
F158,F107,5.16E-04
F159,F107,0.000508327
F160,F107,5.15E-04
F161,F107,0.000171863
F162,F107,1.72E-04
F163,F107,1.72E-04
F164,F107,0.000171609
F165,F107,0.000171444
F49,F107,4.25E-04
F50,F107,4.24E-04
F51,F107,0.000424603
F52,F107,0.000424603
F57,F107,8.37E-04
F58,F107,0.000832185
F76,F107,0.001651592
F83,F107,0.001639803
F51,F108,0.008248493
F10,F109,0.000414247
F122,F109,0.000396474
F124,F109,0.000400438
F128,F109,0.000331397
F129,F109,0.000331397
F13,F109,0.000400438
F130,F109,0.000124274
F142,F109,0.000380013
F156,F109,0.000124319
F157,F109,0.000124274
F158,F109,1.24E-04
F159,F109,0.000122524
F160,F109,1.24E-04
F161,F109,0.000124274
F162,F109,1.24E-04
F163,F109,1.24E-04
F164,F109,0.000124091
F165,F109,0.000495885
F179,F109,1.93315E-05
F180,F109,1.87E-05
F51,F109,4.00E-04
F52,F109,0.000400438
F75,F109,4.14247E-05
F76,F109,0.000442863
F77,F109,4.17227E-05
F78,F109,4.17027E-05
F79,F109,4.14E-05
F8,F109,0.000193109
F80,F109,4.14247E-05
F81,F109,4.16788E-05
F82,F109,4.41E-04
F83,F109,4.12E-05
F86,F109,6.83575E-05
F87,F109,6.08292E-05
F88,F109,6.27646E-05
F89,F109,0.000473288
F9,F109,0.000193315
F90,F109,6.82017E-05
F91,F109,0.000069915
F95,F109,0.000398349
F203,F110,0.001926055
F204,F110,0.001916717
F205,F110,0.001967421
F8,F110,0.002897594
F86,F110,0.00096498
F87,F110,0.000858705
F88,F110,0.000864932
F89,F110,0.000982537
F9,F110,0.002900685
F90,F110,0.000962781
F91,F110,0.000963468
F53,F111,0.000557589
F56,F111,0.000974291
F57,F111,9.78E-04
F58,F111,0.000972064
F6,F111,0.000304932
F60,F111,0.000762329
F61,F111,0.000762329
F8,F111,0.000761516
F9,F111,0.000762329
F51,F112,0.001686082
F100,F113,0.000242904
F53,F113,0.001140643
F96,F113,0.000239521
F97,F113,0.000224219
F98,F113,0.000224219
F99,F113,0.000223126
F8,F114,0.005025
F9,F114,0.005
F67,F122,0.000650959
F108,F124,0.006712329
F76,F124,0.00672752
F156,F125,0.001233324
F157,F125,0.001232877
F158,F125,1.23E-03
F159,F125,0.001215512
F160,F125,1.23E-03
F1,F126,1.36E-05
F10,F126,1.45E-05
F100,F126,1.45479E-05
F101,F126,1.44E-05
F102,F126,1.43E-05
F104,F126,1.44E-05
F110,F126,1.45E-05
F118,F126,1.45479E-05
F119,F126,1.45E-05
F120,F126,1.45479E-05
F121,F126,1.45E-05
F122,F126,1.44E-05
F123,F126,1.45479E-05
F124,F126,1.45479E-05
F128,F126,1.45479E-05
F129,F126,1.45479E-05
F13,F126,1.45479E-05
F131,F126,1.45479E-05
F132,F126,1.37245E-05
F139,F126,1.45479E-05
F14,F126,1.45479E-05
F145,F126,1.45E-05
F146,F126,1.45479E-05
F147,F126,1.45E-05
F148,F126,1.47E-05
F149,F126,1.45E-05
F15,F126,1.45479E-05
F150,F126,1.45E-05
F151,F126,1.43E-05
F152,F126,1.45E-05
F153,F126,1.45E-05
F155,F126,1.41617E-05
F157,F126,1.45479E-05
F161,F126,1.45479E-05
F163,F126,1.45E-05
F166,F126,1.38552E-05
F167,F126,1.45479E-05
F168,F126,1.41931E-05
F169,F126,1.45479E-05
F174,F126,1.45479E-05
F177,F126,1.45479E-05
F179,F126,1.45479E-05
F180,F126,1.41E-05
F185,F126,1.45479E-05
F186,F126,1.45479E-05
F187,F126,1.45479E-05
F188,F126,0.00001366
F19,F126,1.45479E-05
F193,F126,1.45479E-05
F2,F126,1.45E-05
F205,F126,1.46835E-05
F206,F126,1.45E-05
F207,F126,1.44169E-05
F21,F126,1.45479E-05
F23,F126,1.45479E-05
F27,F126,1.45479E-05
F28,F126,1.45E-05
F3,F126,1.45E-05
F4,F126,1.45479E-05
F42,F126,1.45479E-05
F43,F126,1.44541E-05
F44,F126,1.45479E-05
F45,F126,1.45479E-05
F46,F126,1.45479E-05
F48,F126,1.45E-05
F49,F126,1.45E-05
F5,F126,1.45479E-05
F50,F126,1.45E-05
F51,F126,1.45E-05
F52,F126,1.45E-05
F53,F126,1.43E-05
F59,F126,1.43E-05
F6,F126,1.45479E-05
F60,F126,1.45479E-05
F64,F126,1.44E-05
F65,F126,1.45E-05
F7,F126,1.45479E-05
F70,F126,1.45479E-05
F71,F126,1.45479E-05
F72,F126,1.45E-05
F74,F126,1.44996E-05
F76,F126,1.46E-05
F77,F126,1.46526E-05
F78,F126,1.46456E-05
F79,F126,1.45E-05
F8,F126,1.45E-05
F84,F126,1.45E-05
F85,F126,1.45479E-05
F86,F126,1.44E-05
F87,F126,1.28176E-05
F88,F126,1.32254E-05
F89,F126,1.47E-05
F9,F126,1.45E-05
F90,F126,1.43711E-05
F91,F126,1.47321E-05
F95,F126,1.45E-05
F96,F126,1.43E-05
F97,F126,1.45479E-05
F98,F126,1.45479E-05
F207,F127,0.001959176
F76,F130,0.005738986
F51,F14,0.037524384
F51,F145,0.001710027
F51,F15,0.015662466
F60,F15,0.007831233
F61,F15,0.007831233
F8,F154,0.001852271
F9,F154,0.001854247
F51,F155,0.00144
F16,F16,0.001507304
F17,F16,0.001507972
F24,F16,0.000342414
F25,F16,0.00033749
F26,F16,3.40E-04
F27,F16,0.000340274
F28,F16,0.000340274
F29,F16,0.000340274
F30,F16,0.000333973
F31,F16,0.000333685
F32,F16,0.000334504
F8,F161,0.000241961
F1,F17,0.004569069
F120,F17,0.004876603
F50,F17,0.004871207
F60,F17,0.004876603
F61,F17,0.004849808
F10,F170,0.001169205
F122,F170,0.00069102
F50,F170,1.17E-03
F51,F170,1.51E-04
F52,F170,0.001685341
F53,F170,0.000116868
F60,F170,2.08855E-05
F61,F170,0.000179326
F9,F170,0.004704972
F105,F171,0.000401352
F106,F171,4.25E-04
F107,F171,0.000404932
F108,F171,4.25E-04
F109,F171,0.000403524
F110,F171,0.000424618
F111,F171,0.000403638
F112,F171,4.25E-04
F120,F171,0.000992082
F170,F171,0.00080266
F171,F171,0.000161134
F172,F171,1.61E-04
F178,F171,1.98291E-05
F179,F171,2.02466E-05
F180,F171,1.96E-05
F181,F171,0.000141726
F182,F171,1.42E-04
F184,F171,1.41E-04
F190,F171,2.03E-05
F191,F171,2.04511E-05
F192,F171,2.02466E-05
F193,F171,2.02466E-05
F49,F171,3.44E-04
F50,F171,3.24E-04
F51,F171,3.44E-04
F52,F171,0.000323945
F75,F171,2.02E-05
F76,F171,2.03E-05
F77,F171,2.03922E-05
F78,F171,2.03825E-05
F79,F171,2.02E-05
F80,F171,2.02466E-05
F81,F171,2.04E-05
F82,F171,2.02E-05
F83,F171,2.01E-05
F84,F171,0.003279945
F85,F171,0.00732926
F100,F172,0.000177534
F101,F172,0.000175729
F102,F172,0.000174803
F103,F172,0.000178247
F104,F172,0.000176114
F14,F172,0.000473425
F147,F172,0.001893699
F148,F172,0.001915465
F15,F172,0.000473425
F16,F172,0.000471852
F17,F172,0.000472061
F26,F172,1.89E-03
F29,F172,0.001893699
F49,F172,0.002840548
F50,F172,9.46E-04
F51,F172,0.001893699
F52,F172,0.001893699
F59,F172,0.000933879
F60,F172,0.000946849
F8,F172,0.002837521
F85,F172,0.001893699
F9,F172,0.000946849
F94,F172,0.000176651
F95,F172,0.002030992
F96,F172,0.000175062
F97,F172,0.000177534
F98,F172,0.000177534
F99,F172,0.000176669
F1,F176,0.0005224
F2,F176,0.000557562
F3,F176,5.58E-04
F51,F176,0.001672685
F53,F176,0.001635271
F141,F177,0.001701994
F142,F177,0.001610426
F1,F178,1.90E-04
F2,F178,2.03E-04
F3,F178,2.03E-04
F53,F178,0.000565898
F145,F179,0.001758481
F42,F179,0.000459616
F43,F179,0.000456651
F44,F179,0.000459616
F45,F179,0.000459616
F6,F179,0.000900082
F67,F179,0.003619479
F7,F179,0.000900082
F75,F179,0.000210658
F76,F179,0.000211134
F77,F179,0.000212173
F78,F179,0.000212071
F79,F179,2.11E-04
F80,F179,0.000210658
F81,F179,0.00021195
F82,F179,2.10E-04
F83,F179,0.000209627
F87,F179,0.001552302
F1,F180,0.000439359
F10,F180,0.001385479
F118,F180,0.001385479
F119,F180,0.001385479
F156,F180,0.00014926
F157,F180,0.000149205
F158,F180,1.49E-04
F159,F180,0.000147104
F160,F180,1.49E-04
F161,F180,0.000149205
F162,F180,1.49E-04
F163,F180,1.49E-04
F164,F180,0.000148985
F165,F180,0.000148842
F2,F180,0.000468932
F207,F180,0.001330752
F3,F180,4.69E-04
F46,F180,0.000703397
F47,F180,0.000702593
F118,F181,0.001751589
F161,F181,0.000346849
F162,F181,3.47E-04
F163,F181,3.46E-04
F164,F181,0.000346338
F165,F181,0.000346004
F10,F182,0.000483534
F118,F182,0.000470466
F121,F182,0.000470466
F124,F182,0.000235233
F125,F182,0.000235719
F156,F182,3.92197E-05
F157,F182,3.92055E-05
F158,F182,3.92E-05
F159,F182,3.86533E-05
F160,F182,3.92E-05
F161,F182,3.92055E-05
F162,F182,3.92E-05
F163,F182,3.91E-05
F164,F182,3.91E-05
F165,F182,3.91E-05
F59,F182,0.000464021
F55,F183,3.65E-04
F57,F183,1.80E-04
F58,F183,0.000178436
F1,F184,4.98E-05
F105,F184,2.11E-05
F106,F184,2.13E-05
F107,F184,2.13E-05
F108,F184,2.13E-05
F109,F184,2.12E-05
F110,F184,2.12E-05
F111,F184,2.12E-05
F112,F184,1.59E-04
F118,F184,0.000159452
F122,F184,0.000157873
F123,F184,0.000159452
F124,F184,0.000297644
F125,F184,0.000159782
F135,F184,0.000159317
F147,F184,0.000180712
F148,F184,0.000172037
F149,F184,0.00018003
F150,F184,1.70E-04
F151,F184,2.09332E-05
F152,F184,2.13E-05
F153,F184,2.12603E-05
F155,F184,0.000155219
F156,F184,0.000042536
F157,F184,4.25205E-05
F158,F184,4.26E-05
F159,F184,4.19217E-05
F160,F184,2.12E-04
F161,F184,0.000180712
F162,F184,1.81E-04
F163,F184,1.06E-05
F164,F184,1.06E-05
F165,F184,1.06E-05
F180,F184,0.000154603
F188,F184,0.000139739
F2,F184,5.32E-05
F203,F184,5.31507E-05
F204,F184,0.000211572
F205,F184,5.36459E-05
F3,F184,5.32E-05
F49,F184,1.59E-04
F51,F184,1.59E-04
F60,F184,0.000159452
F61,F184,0.000148822
F76,F184,0.000159813
F79,F184,1.49E-04
F8,F184,7.43317E-05
F86,F184,3.16E-05
F87,F184,2.80973E-05
F88,F184,2.89913E-05
F89,F184,1.82E-04
F9,F184,0.000074411
F90,F184,3.15027E-05
F91,F184,0.00016147
F95,F184,0.000148045
F96,F184,0.000157231
F97,F184,0.000159452
F18,F185,0.001201644
F19,F185,0.001201644
F20,F185,0.001201644
F21,F185,0.001201644
F18,F186,0.002147068
F19,F186,0.002147068
F20,F186,0.002147068
F21,F186,0.002147068
F18,F187,0.003827397
F19,F187,0.003827397
F20,F187,0.003827397
F21,F187,0.003827397
F18,F188,0.000880822
F19,F188,0.000880822
F20,F188,0.000880822
F21,F188,0.000880822
F63,F189,0.003558576
F79,F189,0.003561644
F1,F190,0.001087617
F118,F190,0.000879781
F150,F190,0.000878355
F152,F190,0.000879781
F156,F190,0.000110012
F157,F190,0.000109973
F158,F190,1.10E-04
F159,F190,0.000108424
F160,F190,1.10E-04
F161,F190,0.000232164
F162,F190,2.32E-04
F163,F190,2.32E-04
F164,F190,0.000231822
F165,F190,0.000231599
F168,F190,0.000858323
F19,F190,0.000879781
F2,F190,2.93E-04
F3,F190,0.001160822
F51,F190,0.000879781
F75,F190,9.77534E-05
F76,F190,9.79747E-05
F77,F190,9.84567E-05
F78,F190,9.84095E-05
F79,F190,9.53E-04
F8,F190,0.000439422
F80,F190,9.77534E-05
F81,F190,9.83531E-05
F82,F190,9.76E-05
F83,F190,9.73E-05
F9,F190,0.00043989
F1,F191,0.000450962
F10,F191,0.000471288
F104,F191,0.000477465
F115,F191,0.000100274
F116,F191,0.000100274
F117,F191,0.000100274
F118,F191,0.000100274
F119,F191,1.00E-04
F145,F191,0.000470383
F147,F191,0.000481315
F148,F191,0.000476705
F150,F191,0.000590657
F151,F191,0.000118478
F152,F191,0.000591616
F153,F191,0.000120329
F156,F191,5.01552E-05
F157,F191,0.000531452
F158,F191,5.02E-05
F159,F191,4.94308E-05
F160,F191,5.21E-04
F161,F191,0.000050137
F162,F191,5.01E-05
F163,F191,5.00E-05
F164,F191,5.01E-05
F165,F191,5.00E-05
F178,F191,2.94619E-05
F179,F191,3.00822E-05
F180,F191,2.91674E-05
F181,F191,3.00822E-05
F182,F191,3.00E-05
F183,F191,3.01E-05
F184,F191,3.00E-05
F185,F191,3.00822E-05
F186,F191,3.00822E-05
F187,F191,3.00822E-05
F188,F191,2.82462E-05
F189,F191,3.01E-05
F190,F191,3.01E-05
F191,F191,3.03861E-05
F192,F191,3.00822E-05
F193,F191,3.00822E-05
F204,F191,0.000478982
F26,F191,4.81E-04
F79,F191,4.71E-04
F8,F191,0.000240401
F86,F191,0.000168778
F87,F191,0.00015019
F88,F191,0.000154969
F89,F191,1.72E-04
F9,F191,0.000240658
F90,F191,0.000168393
F91,F191,7.10803E-05
F1,F199,0.000446239
F112,F199,4.76E-04
F123,F199,0.000476274
F14,F199,0.000116822
F15,F199,0.000116822
F156,F199,4.49478E-05
F157,F199,4.49315E-05
F158,F199,4.50E-05
F159,F199,4.42987E-05
F16,F199,0.000116434
F160,F199,4.49E-05
F161,F199,4.49315E-05
F162,F199,4.49E-05
F163,F199,4.48E-05
F164,F199,4.49E-05
F165,F199,4.48E-05
F17,F199,0.000116485
F200,F199,0.000476274
F203,F199,0.000161753
F204,F199,0.000160969
F205,F199,0.00016326
F206,F199,0.000476094
F24,F199,0.000217028
F25,F199,0.000213907
F26,F199,2.16E-04
F27,F199,0.000530192
F28,F199,5.39E-05
F29,F199,5.39178E-05
F30,F199,5.39178E-05
F31,F199,5.38714E-05
F49,F199,5.93E-04
F50,F199,1.17E-04
F51,F199,0.000593096
F52,F199,1.17E-04
F57,F199,2.42E-04
F58,F199,0.000240632
F75,F199,5.39178E-05
F76,F199,5.40E-05
F77,F199,5.43057E-05
F78,F199,5.42797E-05
F79,F199,5.39E-05
F80,F199,5.39178E-05
F81,F199,5.42486E-05
F82,F199,5.38E-05
F83,F199,5.37E-05
F9,F199,0.00024263
F8,F200,0.001988016
F114,F201,2.59E-04
F126,F201,0.000259096
F14,F201,0.000259726
F15,F201,0.000259726
F16,F201,0.000258863
F17,F201,0.000258978
F170,F201,0.000257416
F171,F201,0.000258381
F172,F201,0.000258531
F199,F201,2.60E-04
F200,F201,0.000259726
F202,F201,0.000259502
F208,F201,0.00025758
F24,F201,0.00026136
F25,F201,0.000257601
F26,F201,2.60E-04
F27,F201,0.000259726
F28,F201,0.000259726
F29,F201,0.000259726
F30,F201,0.000259726
F31,F201,0.000259502
F32,F201,0.000260139
F33,F201,0.000259458
F34,F201,0.000260002
F35,F201,0.000260002
F36,F201,0.00025688
F37,F201,0.000260002
F38,F201,2.59E-04
F40,F201,2.59E-04
F41,F201,0.000256678
F49,F201,2.60E-04
F50,F201,2.59E-04
F51,F201,2.60E-04
F52,F201,0.000259726
F55,F201,2.59E-04
F60,F201,0.000129863
F61,F201,0.000129863
F8,F201,0.000259449
F84,F201,0.000259726
F85,F201,0.000259726
F9,F201,0.000259726
F1,F202,3.35E-05
F10,F202,3.58E-05
F100,F202,3.57534E-05
F101,F202,3.54E-05
F102,F202,3.52034E-05
F104,F202,3.55E-05
F110,F202,3.57E-05
F118,F202,3.57534E-05
F119,F202,3.58E-05
F120,F202,3.57534E-05
F121,F202,3.58E-05
F122,F202,3.54E-05
F123,F202,3.57534E-05
F124,F202,3.57534E-05
F128,F202,3.57534E-05
F129,F202,3.57534E-05
F13,F202,3.57534E-05
F131,F202,3.57534E-05
F132,F202,3.37296E-05
F139,F202,3.57534E-05
F14,F202,3.57534E-05
F145,F202,3.56848E-05
F146,F202,3.57534E-05
F147,F202,3.57534E-05
F148,F202,3.62E-05
F149,F202,3.56E-05
F15,F202,3.57534E-05
F150,F202,3.57E-05
F151,F202,3.52034E-05
F152,F202,3.57534E-05
F153,F202,3.57534E-05
F155,F202,3.48042E-05
F157,F202,3.57534E-05
F159,F202,3.52499E-05
F161,F202,3.57534E-05
F163,F202,3.57E-05
F166,F202,3.40509E-05
F167,F202,3.57534E-05
F168,F202,3.48814E-05
F169,F202,3.57534E-05
F174,F202,3.57534E-05
F177,F202,3.57534E-05
F179,F202,3.57534E-05
F180,F202,3.46662E-05
F185,F202,3.57534E-05
F186,F202,3.57534E-05
F187,F202,3.57534E-05
F188,F202,3.35713E-05
F19,F202,3.57534E-05
F192,F202,3.57534E-05
F193,F202,3.57534E-05
F198,F202,3.35713E-05
F2,F202,3.58E-05
F203,F202,3.57534E-05
F205,F202,3.60865E-05
F207,F202,3.54313E-05
F21,F202,3.57534E-05
F28,F202,3.58E-05
F3,F202,3.58E-05
F4,F202,3.57534E-05
F42,F202,3.57534E-05
F43,F202,3.55228E-05
F44,F202,3.57534E-05
F45,F202,3.57534E-05
F46,F202,3.57534E-05
F48,F202,3.57E-05
F49,F202,3.58E-05
F5,F202,3.57534E-05
F50,F202,3.57E-05
F51,F202,3.58E-05
F52,F202,3.58E-05
F53,F202,3.52E-05
F59,F202,3.53E-05
F6,F202,3.57534E-05
F60,F202,1.78767E-05
F61,F202,1.78767E-05
F64,F202,3.54E-05
F65,F202,3.58E-05
F7,F202,3.57534E-05
F70,F202,3.57534E-05
F71,F202,3.57534E-05
F72,F202,3.57E-05
F74,F202,3.56346E-05
F76,F202,3.58E-05
F77,F202,3.60106E-05
F78,F202,3.59934E-05
F79,F202,3.58E-05
F8,F202,3.57E-05
F84,F202,3.57534E-05
F85,F202,3.57534E-05
F86,F202,3.54E-05
F87,F202,3.15008E-05
F88,F202,3.25031E-05
F89,F202,3.60E-05
F9,F202,3.58E-05
F90,F202,3.53187E-05
F91,F202,0.000036206
F95,F202,3.56E-05
F96,F202,3.53E-05
F97,F202,3.57534E-05
F98,F202,3.57534E-05
F60,F203,0.012945205
F61,F203,0.012945205
F193,F204,0.003869918
F24,F204,0.00044365
F25,F204,0.000437269
F26,F204,4.41E-04
F27,F204,0.000440877
F28,F204,0.000440877
F29,F204,0.000440877
F30,F204,0.000440877
F31,F204,0.000440497
F32,F204,0.000441578
F49,F204,0.001934959
F50,F204,0.001932818
F51,F204,0.003820932
F75,F204,0.000416384
F76,F204,0.000417326
F77,F204,0.000419379
F78,F204,0.000419178
F79,F204,4.16E-04
F8,F204,0.001932897
F80,F204,0.000416384
F81,F204,0.000418938
F82,F204,4.16E-04
F83,F204,0.000414347
F9,F204,0.001934959
F1,F208,7.08E-05
F10,F208,7.56164E-05
F100,F208,7.56164E-05
F101,F208,7.48475E-05
F102,F208,7.44531E-05
F104,F208,7.50115E-05
F110,F208,7.55E-05
F118,F208,7.56164E-05
F119,F208,7.56E-05
F120,F208,7.56164E-05
F121,F208,7.56E-05
F122,F208,7.48678E-05
F123,F208,7.56164E-05
F124,F208,7.56164E-05
F128,F208,7.56164E-05
F129,F208,7.56164E-05
F13,F208,7.56164E-05
F131,F208,7.56164E-05
F132,F208,7.13363E-05
F139,F208,7.56164E-05
F14,F208,7.56164E-05
F145,F208,7.54713E-05
F146,F208,7.56164E-05
F147,F208,7.56164E-05
F148,F208,7.65E-05
F149,F208,7.53E-05
F15,F208,7.56164E-05
F150,F208,7.55E-05
F151,F208,7.44531E-05
F152,F208,7.56164E-05
F153,F208,7.56164E-05
F156,F208,7.56438E-05
F158,F208,7.57E-05
F160,F208,7.55E-05
F162,F208,7.56E-05
F163,F208,7.55E-05
F166,F208,7.20157E-05
F167,F208,7.56164E-05
F168,F208,7.37721E-05
F169,F208,7.56164E-05
F174,F208,7.56164E-05
F177,F208,7.56164E-05
F179,F208,7.56164E-05
F180,F208,0.000073317
F185,F208,7.56164E-05
F186,F208,7.56164E-05
F187,F208,7.56164E-05
F188,F208,7.10014E-05
F19,F208,7.56164E-05
F192,F208,7.56164E-05
F193,F208,7.56164E-05
F198,F208,7.10014E-05
F2,F208,7.56E-05
F203,F208,7.56164E-05
F205,F208,7.63209E-05
F207,F208,7.49352E-05
F21,F208,7.56164E-05
F28,F208,7.56E-05
F3,F208,7.56E-05
F4,F208,7.56164E-05
F42,F208,7.56164E-05
F43,F208,7.51286E-05
F44,F208,7.56164E-05
F45,F208,7.56164E-05
F46,F208,7.56164E-05
F48,F208,0.00007553
F49,F208,7.56E-05
F5,F208,7.56164E-05
F50,F208,7.55E-05
F51,F208,7.56E-05
F52,F208,7.56E-05
F53,F208,7.44531E-05
F59,F208,7.46E-05
F6,F208,7.56164E-05
F60,F208,0.000050411
F61,F208,2.52055E-05
F64,F208,7.49E-05
F65,F208,7.56E-05
F7,F208,7.56164E-05
F70,F208,7.56164E-05
F71,F208,7.56164E-05
F72,F208,7.55E-05
F74,F208,7.53652E-05
F76,F208,7.57876E-05
F77,F208,7.61604E-05
F78,F208,7.61239E-05
F79,F208,7.56E-05
F8,F208,7.55359E-05
F84,F208,7.56164E-05
F85,F208,7.56164E-05
F86,F208,7.48678E-05
F87,F208,6.66224E-05
F88,F208,6.87422E-05
F89,F208,7.62E-05
F9,F208,7.56164E-05
F90,F208,7.46971E-05
F91,F208,7.65736E-05
F95,F208,7.52E-05
F96,F208,7.46E-05
F97,F208,7.56164E-05
F98,F208,7.56164E-05
F29,F22,0.003870795
F51,F22,0.003870795
F60,F22,0.001935397
F61,F22,0.001921863
F67,F23,0.00790074
F112,F24,0.004137968
F161,F24,0.000828493
F162,F24,0.000828107
F163,F24,0.000826812
F164,F24,0.000827271
F165,F24,0.000826475
F98,F24,0.004142466
F49,F25,0.00346411
F50,F25,0.003460277
F8,F25,0.003460418
F9,F25,0.00346411
F91,F25,0.007040111
F1,F26,0.000439
F119,F26,0.001405644
F121,F26,0.001405644
F122,F26,0.001391727
F152,F26,0.001405644
F156,F26,0.000137858
F157,F26,0.001543452
F158,F26,1.38E-04
F159,F26,0.000135867
F160,F26,1.38E-04
F161,F26,0.001543452
F162,F26,1.38E-04
F163,F26,1.38E-04
F164,F26,0.000137605
F165,F26,0.000137473
F18,F26,0.001405644
F19,F26,0.001405644
F2,F26,0.000468548
F3,F26,0.001874192
F49,F26,0.001405644
